TEAM_SEASON,TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G,CONF,CONF_RANK,SEASON
PHI_2021,PHI,16,7,0.444,0.0,22,14,72.6,70.4,EASTERN_CONF,1,2021
MIL_2021,MIL,14,8,0.389,1.5,27,9,74.0,68.4,EASTERN_CONF,2,2021
BRK_2021,BRK,14,10,0.37799999999999995,2.5,23,14,79.2,76.5,EASTERN_CONF,3,2021
BOS_2021,BOS,12,9,0.33299999999999996,3.0,21,15,65.3,64.0,EASTERN_CONF,4,2021
IND_2021,IND,12,11,0.324,4.0,20,17,70.8,69.8,EASTERN_CONF,5,2021
ATL_2021,ATL,10,12,0.278,5.5,19,17,68.3,67.6,EASTERN_CONF,6,2021
CLE_2021,CLE,10,13,0.278,6.0,12,24,66.3,69.9,EASTERN_CONF,7,2021
TOR_2021,TOR,10,12,0.27,5.5,21,16,66.8,65.7,EASTERN_CONF,8,2021
CHO_2021,CHO,10,13,0.27,6.0,17,20,68.5,69.5,EASTERN_CONF,9,2021
NYK_2021,NYK,10,13,0.27,6.0,16,21,63.6,64.7,EASTERN_CONF,10,2021
ORL_2021,ORL,9,14,0.25,7.0,11,25,67.5,71.5,EASTERN_CONF,11,2021
CHI_2021,CHI,8,13,0.22899999999999998,7.0,15,20,69.0,70.4,EASTERN_CONF,12,2021
MIA_2021,MIA,8,14,0.222,7.5,14,22,65.5,67.9,EASTERN_CONF,13,2021
WAS_2021,WAS,5,14,0.147,9.0,11,23,64.4,67.7,EASTERN_CONF,14,2021
DET_2021,DET,5,17,0.139,10.5,12,24,65.7,68.9,EASTERN_CONF,15,2021
UTA_2021,UTA,18,5,0.5,0.0,27,9,73.3,67.8,WESTERN_CONF,1,2021
LAL_2021,LAL,17,6,0.45899999999999996,1.0,28,9,69.5,64.4,WESTERN_CONF,2,2021
LAC_2021,LAC,17,7,0.447,1.5,27,11,72.6,68.0,WESTERN_CONF,3,2021
POR_2021,POR,12,9,0.34299999999999997,5.0,17,18,69.4,69.9,WESTERN_CONF,4,2021
PHO_2021,PHO,12,9,0.34299999999999997,5.0,20,15,65.9,64.5,WESTERN_CONF,5,2021
DEN_2021,DEN,12,9,0.33299999999999996,5.0,22,14,67.4,65.2,WESTERN_CONF,6,2021
SAS_2021,SAS,12,10,0.33299999999999996,5.5,17,19,68.0,68.5,WESTERN_CONF,7,2021
GSW_2021,GSW,12,10,0.324,5.5,19,18,67.6,67.4,WESTERN_CONF,8,2021
HOU_2021,HOU,11,10,0.306,6.0,21,15,64.9,63.5,WESTERN_CONF,9,2021
MEM_2021,MEM,9,8,0.281,6.0,17,15,58.3,58.1,WESTERN_CONF,10,2021
SAC_2021,SAC,10,11,0.278,7.0,12,24,66.2,69.3,WESTERN_CONF,11,2021
NOP_2021,NOP,9,12,0.25,8.0,17,19,64.9,65.6,WESTERN_CONF,12,2021
OKC_2021,OKC,9,12,0.25,8.0,11,25,62.3,66.3,WESTERN_CONF,13,2021
DAL_2021,DAL,9,14,0.25,9.0,15,21,70.0,71.9,WESTERN_CONF,14,2021
MIN_2021,MIN,6,16,0.16699999999999998,11.5,9,27,65.0,70.2,WESTERN_CONF,15,2021
